artist_id,artist_name,purpose_premium_pack
3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,False
43DRDu6nLSeIedZ7T1A616,Xand Avião,False
47uyFQHOD02S0lj9ptRpoB,Felipe Araújo,False
2MQolJPqfSxDtm0xObw93I,Júnior Angelim,False
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,False
76Uu7lnLuTOmH2eZsKZTan,Kubańczyk,False
154o9Wi0JpSDbYQPMtmpd5,Wiatr,False
3txlfIcKCNrKk5bJw1er3R,Kali,False
4z93wkjfGntA0XFqnv4wj7,Pezet,False
4Q3xLVaD2uBZGVxmCYuSkt,Kabe,False
79b4a4Bg30Y0RlO5de5jni,Alberto,False
462yq5vpZnO172v3nK9ibv,Paluch,False
0QR764k0D36npmTMWx5bft,Żabson,False
6QfFTZJHFSe9Xyes6DkAli,Reto,False
0wm6v5GU6VbR1wtsm0YiTV,Słoń,False
16TsNPlesuA1R9kPLS6nta,Favst,False
0LX2VNf5w4iOHW1yyIqb74,Bedoes,False
31KykqmaPRWmV8PMHgWdE3,chillwagon,False
2ufQfSFDFXfMS7MEMzdGZE,Białas,False
0Wi2fADbhwXlPUWxBmzo99,Szpaku,False
7CJgLPEqiIRuneZSolpawQ,Taco Hemingway,False
0AEQNlJAZeghMaFyIYfrQG,SB Maffija,False
2IHoZ3RrDJIikMRsYgHjhy,Kizo,False
2fpZqYlKXdf4A7AFZbbji9,Dedis,False
56VhOZOF6hwqrbNYwkmcsH,Sobel,False
4vANIRmGaClLxlTLd1rr1R,Epis DYM KNF,False
4nPxrGG7k7aEKmNLsfX4cd,White 2115,False
2zioaq2d7svakjWZV5FDXm,Przyłu,False
39lKxb2ZHaygwUTthI92SS,Kacper HTA,False
1MZ1TtfmzMHEYIlynXsr1a,Gedz,False
5iM4dDbBN6a4OqxKPuxgS6,Major SPZ,False
0MIG6gMcQTSvFbKvUwK0id,Mata,False
7v49oVVUhvIQG5EK0jkcF7,PRO8L3M,False
2hrWpLNoJcs1EnWSXvB6JI,The Rubens,False
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,False
5INjqkS1o8h1imAzPqGZBb,Tame Impala,False
10exVja0key0uqUkk6LJRT,Vance Joy,False
18lpwfiys4GtdHWNUu9qQr,Ocean Alley,False
3cI6oSkDCirRNVAgBsGJyB,No Money Enterprise,False
6yrtCy4XJHXM6tczo4RlTs,Lime Cordiale,False
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,False
1VcbchGlIfo3Gylxc3F076,Cold Chisel,False
1VXE1xqGNlT9HG6TcjpQ9I,Hooligan Hefs,False
5WUlDfRSoLAfcVSX1WnrxN,Sia,False
5xkAtLTf309LAGZTbvULBn,Ruel,False
0SNWoGaDlrCompmg9rXeNq,Paul Kelly,False
6LBCQo20ri3tsvbsWWLmr6,Powderfinger,False
4t52ndk0OkAxtb4vMDLPhe,Daryl Braithwaite,False
6wFwvxJkurQPU2UdeD4qVt,The Jungle Giants,False
0iFJbJ7jMv5QAmA6hWm6Ic,Day1,False
2DORQjKJVYZMx9uu82UGtT,Amy Shark,False
711MCceyCBcFnzjGY4Q7Un,AC/DC,False
4OSArit7O2Jaj4mgf3YN7A,Mallrat,False
2u6qHMpQaE48aowjWKJeCM,Choirboys,False
36PxHmbx5QrRTpuCaw4FuV,Youngn Lipz,False
142YBUGmLWCJigFLzgguf8,Gang of Youths,False
71jSVPQ6yskfyvWeiwvT5s,S1mba,False
67hb7towEyKvt5Z8Bx306c,Empire of the Sun,False
0f3EsoviYnRKTkmayI3cux,Men At Work,False
5TUXXyB6ZKCdd0vQx6yR2J,Chillinit,False
3ZGr7nQBXDU2WhyXgRVbt0,Sticky Fingers,False
2QwlJEasItpClFQ2Ldx61r,Richard Tichelman,False
2EoD9P10mZfRrBWo1nc44Z,Wikw,False
2sWPkzmoeURpFG1Ca5Zm3g,Gabeo,False
6FAo7ORAHEzSSf5q10LLfN,Lil Mabu,False
3WZbnaao6ao4diqMVvDJXk,Jonny West,False
40evB5ihg79VWJAkDjsqd6,Diana,False
3E6DBHJxaEwHKcVnotfkhU,Kooly Bros,False
7HnQDAK5bvvalWJkaPcHFh,Fayross,False
6Jsh7nTKdhKsVHP5zHooI0,Cwby,False
1aKxOOjrr9tPOCat11beik,Joël,False
2nb8BTAKPTMWPi3FOGWMq9,Bugbee,False
50fYj0q2SopMvgqhnmhjik,Jacke Tripp,False
6FVLth5lak99Ve6XGbziL2,Floyd Zion,False
01mUEpopaowW47Ra1nz55w,Barely Trev,False
1CIZRiT4Ggvs5Q3Kg4B0W6,Pat Dimitri,False
4dC4ZpxFqklyn9xNTAaeYH,Yasin,False
6nQU2fgCIK8xSFT8weMxP4,Nate Curry,False
5yoJncvEp3IWsVWvH5f7fg,Paige Garabito,False
30fjDJB1vNHW9ZjjSuMTgf,3TIME,False
1F03cvxw1p5NzqkLnwDpcL,Baegod,False
67s6k0Ijuf0QDaotMJLxrQ,Juvahn,False
1hhCo32XBkw8H0iqTSnkx0,Sam Silver,False
6FaeHLNz3ISxqrVJCprURb,NateTaylorr,False
6u7Wi68Ww2enhuxzGV4Jen,Allé,False
2FWet7RIyCyNlZSNpYpJxi,Crape,False
5v6g2s2SlQJX9cQ9ogEj9s,Duchi Da Vinchi,False
0acDx3AaPdogwfxsP4DAiY,John Tony,False
70slrjM1qHK6WiwJLerxBY,Summonte,False
6m3JhzmHaGOTO2XKns88fy,Dylan Reese,False
2PyLcdy8bRQz3oxAKeAQJv,Blane Is Lame,False
7crF48BmAnNaoNU8QPVld0,THEMXXNLIGHT,False
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,False
2jAOFPTiOaRQW0yxb0T97o,Cryface Jordan,False
5Lhxlge1CR1DrgDAje8Qaw,NoMBe,False
3K2zB87GZv1krx031en5VA,La Roux,False
0rAt7V95LWbRPvWQFd21il,Yoshi Flower,False
063EuqCFOVlxc3xF3bwqQl,wolfi,False
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,False
69DKP6GuG0YiUc5K7tJ4an,Ella Isaacson,False
7lsnwlX6puQ7lcpSEpJbZE,Kilo Kish,False
2SrSdSvpminqmStGELCSNd,Stormzy,False
053q0ukIDRgzwTr4vNSwab,Grimes,False
0SwO7SWeDHJijQ3XNS7xEE,MGMT,False
12Zk1DFhCbHY6v3xep2ZjI,070 Shake,False
2qDdxfKUpYg8wc49KIuT3b,Tommy Genesis,False
4pADjHPWyrlAF0FA7joK2H,Jay Sean,False
6TXM1kV4L8DsDAkAfbOPYk,Ally Brooke,False
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,False
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,False
4gTk6Jv1rXIWNlcuHnziow,Sbvce,False
4AHhe1KXVCCoOdHQNjH5Zu,REYNA,False
1xQwlpsU0vjTXIq2kT4ZVT,Keenan,False
1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,False
5fEQLwq1BWWQNR8GzhOIvi,Eric Chou,False
2elBjNSdBE2Y3f0j1mjrql,Jay Chou,False
3TtgOeQcNkf9WVDA4xPBJM,831,False
3HqSLMAZ3g3d5poNaI7GOU,IU,False
28gf2piFx6cAKOMIwcky5a,A-Lin,False
2KC9Qb60EaY0kW4eH68vr3,ITZY,False
1SZdTuxme3mOk0D9pUFrET,En,False
4XpUIb8uuNlIWVKmgKZXC0,ZICO,False
3Cs5QQYz6pMhbEKaBNCtfi,Zynakal,False
4qIVPF0s71ZYW3qzhu5GkF,Kina,False
2WxjxdeF7GGdcCK276qViY,Natalie Taylor,False
6IDsZZ4IHgs9VblBgQQSmt,Andmesh,False
3KwmxIhSe9UTSEF37kwngR,SHAED,False
619CzMJPPWrCeZwx5qw6ko,Besomorph,False
0xRXCcSX89eobfrshSVdyu,MEDUZA,False
4ofCBoyEiGSePFAG500xev,Regard,False
3UV0wVQkft6lKLDGioqnyO,Coopex,False
2o08sCWF5yyo2G4DCiT7T9,HVME,False
4ivfOZMa6lNjfcfpubOg6q,Besomage,False
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,False
4u1nYxjl132D6rcMeYQ6Zz,Rival,False
0JOxt5QOwq0czoJxvSc5hS,GASHI,False
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,False
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,False
738wLrAtLtCtFOLvQBXOXp,Major Lazer,False
56oDRnqbIiwx4mymNEv7dS,Lizzo,False
7i9j813KFoSBMldGqlh2Z1,Riton,False
1IueXOQyABrMOprrzwQJWN,Sigala,False
1aQwKFn00nswXRDUDipm0K,Gaullin,False
20gsENnposVs2I4rQ5kvrf,Sam Feldt,False
1MIVXf74SZHmTIp4V4paH4,Mabel,False
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,False
7nqlScm2smydSRl13eaP8E,Nea,False
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,False
3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,False
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,False
